STATIONS UP TRAINS,Borivali 90248 12 CAR,GMN 90250 12 CAR,VR 92044 15 CAR,VR 90252 12 CAR,Borivali 90254 12 CAR,Borivali 90256 12 CAR,VR 92046 15 CAR,VR 92048 15 CAR,Borivali 90258 12 CAR,VR 90260 12 CAR,BYR 92050 15 CAR,Borivali 90262 12 CAR,GMN 90264 12 CAR,DRD 93006 12 CAR,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40
Khar Road,,,,10:11,,10:14,,,,10:18,,,10:21,10:24,,,,,,,,,,,,,,,,,,,,,,,,,,
BANDRA,,10:06,10:02,10:15,,10:18,,10:09,10:13,10:22,10:19,10:16,10:25,10:28,10:22,,,,,,,,,,,,,,,,,,,,,,,,,
Mahim Jn.,,,,10:18,,10:21,,,,10:25,,,10:28,10:31,,,,,,,,,,,,,,,,,,,,,,,,,,
Matunga Road,,,,10:21,,10:24,,,,10:28,,,10:31,10:34,,,,,,,,,,,,,,,,,,,,,,,,,,
DADAR,,10:12,10:10,10:25,,10:28,,10:15,10:19,10:32,10:25,10:24,10:35,10:38,10:28,,,,,,,,,,,,,,,,,,,,,,,,,
Prabhadevi,,,,10:27,,10:30,,,,10:34,,,10:37,10:40,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower Parel,,,,10:30,,10:33,,,,10:37,,,10:40,10:43,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahalakshmi,,,,10:33,,10:36,,,,10:40,,,10:43,10:46,,,,,,,,,,,,,,,,,,,,,,,,,,
M'BAI CENTRAL(L,,10:19,,10:36,,10:39,,10:22,10:26,10:43,10:32,,10:46,10:49,10:35,,,,,,,,,,,,,,,,,,,,,,,,,
Grant Road,,10:21,,10:38,,10:41,,10:24,10:28,10:45,10:34,,10:48,10:51,10:37,,,,,,,,,,,,,,,,,,,,,,,,,
Charni Road,,10:23,,10:40,,10:43,,10:26,10:30,10:47,10:36,,10:50,10:53,10:39,,,,,,,,,,,,,,,,,,,,,,,,,
Marine Lines,,10:26,,10:43,,10:46,,10:29,10:33,10:50,10:39,,10:53,10:56,10:42,,,,,,,,,,,,,,,,,,,,,,,,,
CHURCHGATE,,10:29,,10:48,,10:51,,10:32,10:36,10:54,10:42,,10:57,11:00,10:46,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATIONS UP TRAINS,VR 92062 15 CAR,BVI 90312 12 CAR,VR 94022 12 CAR,BVI 90316 12 CAR,BVI 90316 12 CAR,GMN 90318 12 CAR,GMN 90318 12 CAR,VR 92064 15 CAR,VR 92064 15 CAR,BVI 90320 12 CAR,BVI 90320 12 CAR,BYR 90322 12 CAR,BYR 90322 12 CAR,VR 90324 12 CAR,VR 90324 12 CAR,GMN 90326 12 CAR,GMN 90326 12 CAR,BVI 90328 12 CAR,BVI 90328 12 CAR,VR 92066 15 CAR,VR 92066 15 CAR,VR 92068 15 CAR,VR 92068 15 CAR,ADH 90330 12 CAR,ADH 90330 12 CAR,,,,,,,,,,,,,,,
VIRAR,09:19,,09:23,NOT ON,NOT ON,,,09:24,09:24,,,,,09:30,09:30,NOT ON,NOT ON,,,09:37,09:37,09:41,09:41,,,,,,,,,,,,,,,,,
Nalla Sopara,09:25,,09:29,SUN,SUN,,,09:31,09:31,,,,,09:36,09:36,SUN &,SUN &,,,09:43,09:43,09:47,09:47,,,,,,,,,,,,,,,,,
VASAI ROAD,09:30,,09:35,ONLY,ONLY,,,09:36,09:36,,,,,09:41,09:41,HOLIDAY,HOLIDAY,,,09:49,09:49,09:52,09:52,,,,,,,,,,,,,,,,,
Naigaon,09:34,,09:39,,,,,09:40,09:40,,,,,09:46,09:46,,,,,09:54,09:54,09:57,09:57,,,,,,,,,,,,,,,,,
BHAYANDAR,09:40,,09:45,,,,,09:46,09:46,,,09:49,09:49,09:53,09:53,,,,,10:00,10:00,10:03,10:03,,,,,,,,,,,,,,,,,
Mira Road,09:45,,09:50,,,,,09:51,09:51,,,09:56,09:56,09:59,09:59,,,,,10:05,10:05,10:07,10:07,,,,,,,,,,,,,,,,,
Dahisar,09:49,,09:55,,,,,09:56,09:56,,,10:00,10:00,10:04,10:04,,,,,10:09,10:09,10:11,10:11,,,,,,,,,,,,,,,,,
BORIVALI,09:55,09:55,10:00,10:00,10:00,,,10:01,10:01,10:04,10:04,10:05,10:05,10:10,10:10,,,10:06,10:06,10:14,10:14,10:16,10:16,,,,,,,,,,,,,,,,,
Kandivali,,10:01,,10:05,10:05,,,,,10:10,10:10,,,,,,,10:13,10:13,,,,,,,,,,,,,,,,,,,,,
