STATIONS DN TRAINS,VR 92121 15 CAR,BVI 90577 12 CAR,BVI 90579 12 CAR,BVI 90579 12 CAR.1,GMN 90581 12 CAR,GMN 90581 12 CAR.1,GMN 90581 12 CAR.2,BVI 90583 12 CAR,BVI 90583 12 CAR.1,BVI 90583 12 CAR.2,VR 90585 12 CAR,VR 90585 12 CAR.1,VR 90585 12 CAR.2,BVI 90587 12 CAR,BVI 90587 12 CAR.1,BVI 90587 12 CAR.2,DRD 93027 12 CAR,DRD 93027 12 CAR.1,DRD 93027 12 CAR.2,BVI 90589 12 CAR,BVI 90589 12 CAR.1,BVI 90589 12 CAR.2,VR 94049 12 CAR,VR 94049 12 CAR.1,VR 94049 12 CAR.2,VR 94049 12 CAR.3,GMN 90593 12 CAR,GMN 90593 12 CAR.1,GMN 90593 12 CAR.2,GMN 90593 12 CAR.3,VR 92123 15 CAR,VR 92123 15 CAR.1,VR 92123 15 CAR.2,VR 92123 15 CAR.3,VR 92123 15 CAR.4,BVI 90595 12 CAR,BVI 90595 12 CAR.1,BVI 90595 12 CAR.2,BYR 90597 12 CAR,BYR 90597 12 CAR.1,BYR 90597 12 CAR.2,Unnamed: 42,Unnamed: 43,Unnamed: 44
Matunga Road,,15:59,15:59,,,,,,,16:04,16:04,16:04,,,,16:08,16:08,16:08,16:12,16:12,16:12,16:15,16:15,16:15,16:19,16:19,16:19,16:19,,,,,,,,,16:22,16:22,16:22,16:25,16:25,16:25,,
Mahim Jn.,,16:02,16:02,,,,,,,16:07,16:07,16:07,,,,16:11,16:11,16:11,16:15,16:15,16:15,16:18,16:18,16:18,16:22,16:22,16:22,16:22,,,,,,,,,16:25,16:25,16:25,16:28,16:28,16:28,,
BANDRA,15:55,16:06,16:06,16:08,16:08,16:08,,,,16:11,16:11,16:11,16:13,16:13,16:13,16:15,16:15,16:15,16:19,16:19,16:19,16:22,16:22,16:22,16:26,16:26,16:26,16:26,16:19,16:19,16:19,16:19,16:19,16:23,16:23,16:23,16:29,16:29,16:29,16:32,16:32,16:32,,
Khar Road,,16:09,16:09,,,,,,,16:14,16:14,16:14,,,,16:19,16:19,16:19,16:23,16:23,16:23,16:25,16:25,16:25,16:29,16:29,16:29,16:29,,,,,,,,,16:32,16:32,16:32,16:35,16:35,16:35,,
Santa Cruz,,16:11,16:11,,,,,,,16:16,16:16,16:16,,,,16:21,16:21,16:21,16:25,16:25,16:25,16:27,16:27,16:27,16:31,16:31,16:31,16:31,,,,,,,,,16:34,16:34,16:34,16:37,16:37,16:37,,
Vile Parle,,16:14,16:14,,,,,,,16:19,16:19,16:19,,,,16:24,16:24,16:24,16:28,16:28,16:28,16:30,16:30,16:30,16:34,16:34,16:34,16:34,,,,,,,,,16:37,16:37,16:37,16:40,16:40,16:40,,
ANDHERI,16:03,16:19,16:19,16:16,16:16,16:16,16:21,16:21,16:21,16:24,16:24,16:24,16:21,16:21,16:21,16:30,16:30,16:30,16:34,16:34,16:34,16:35,16:35,16:35,16:39,16:39,16:39,16:39,16:27,16:27,16:27,16:27,16:27,16:31,16:31,16:31,16:42,16:42,16:42,16:45,16:45,16:45,,
Jogeshwari,,16:22,16:22,,,,16:25,16:25,16:25,16:28,16:28,16:28,,,,16:34,16:34,16:34,16:37,16:37,16:37,16:39,16:39,16:39,16:42,16:42,16:42,16:42,,,,,,,,,16:45,16:45,16:45,16:48,16:48,16:48,,
Ram Mandir,,16:25,16:25,,,,16:28,16:28,16:28,16:31,16:31,16:31,,,,16:37,16:37,16:37,16:40,16:40,16:40,16:42,16:42,16:42,16:45,16:45,16:45,16:45,,,,,,,,,16:48,16:48,16:48,16:51,16:51,16:51,,
Goregaon,,16:27,16:27,,,,16:30,16:30,16:30,16:33,16:33,16:33,,,,16:39,16:39,16:39,16:42,16:42,16:42,16:46,16:46,16:46,16:47,16:47,16:47,16:47,,,,,,,,,16:50,16:50,16:50,16:53,16:53,16:53,,
Malad,,16:31,16:31,,,,16:34,16:34,16:34,16:37,16:37,16:37,,,,16:44,16:44,16:44,16:46,16:46,16:46,,,,16:51,16:51,16:51,16:51,,,,,,,,,16:54,16:54,16:54,16:57,16:57,16:57,,
Kandivli,,16:34,16:34,,,,16:37,16:37,16:37,16:40,16:40,16:40,,,,16:47,16:47,16:47,16:49,16:49,16:49,,,,16:54,16:54,16:54,16:54,,,,,,,,,16:57,16:57,16:57,17:00,17:00,17:00,,
BORIVALI,16:17,16:39,16:39,16:31,16:31,16:31,16:43,16:43,16:43,16:46,16:46,16:46,16:35,16:35,16:35,16:53,16:53,16:53,16:56,16:56,16:56,,,,17:00,17:00,17:00,17:00,16:40,16:40,16:40,16:40,16:40,16:46,16:46,16:46,17:02,17:02,17:02,17:06,17:06,17:06,,
Dahisar,16:23,16:43,16:43,16:36,16:36,16:36,16:47,16:47,16:47,NOT ON,NOT ON,NOT ON,16:40,16:40,16:40,,,,NOT ON,NOT ON,NOT ON,,,,,,,,16:44,16:44,16:44,16:44,16:44,,,,17:06,17:06,17:06,,,,,
Mira Road,16:28,16:48,16:48,16:41,16:41,16:41,16:52,16:52,16:52,SUN,SUN,SUN,16:45,16:45,16:45,,,,SUN,SUN,SUN,,,,,,,,16:49,16:49,16:49,16:49,16:49,,,,17:11,17:11,17:11,,,,,
Bhayandar,16:33,16:53,16:53,16:46,16:46,16:46,16:57,16:57,16:57,ONLY,ONLY,ONLY,16:51,16:51,16:51,,,,ONLY,ONLY,ONLY,,,,,,,,16:54,16:54,16:54,16:54,16:54,,,,17:16,17:16,17:16,,,,,
Naigaon,16:39,16:59,16:59,16:52,16:52,16:52,17:03,17:03,17:03,,,,,,,,,,,,,,,,,,,,17:00,17:00,17:00,17:00,17:00,,,,17:22,17:22,17:22,,,,,
Vasai Road,16:44,17:04,17:04,16:57,16:57,16:57,17:08,17:08,17:08,,,,,,,,,,,,,,,,,,,,17:05,17:05,17:05,17:05,17:05,,,,17:27,17:27,17:27,,,,,
Nalla Sopara,16:49,,,17:02,17:02,17:02,17:13,17:13,17:13,,,,,,,,,,,,,,,,,,,,17:10,17:10,17:10,17:10,17:10,,,,17:32,17:32,17:32,,,,,
VIRAR,16:55,,,17:11,17:11,17:11,17:20,17:20,17:20,,,,,,,,,,,,,,,,,,,,17:18,17:18,17:18,17:18,17:18,,,,17:39,17:39,17:39,,,,,
