STATIONS DN TRAINS,BVI 90841 12 CAR,BVI 90843 12 CAR,GMN 90845 12 CAR,DRD 93035 12 CAR,VR 94069 12 CAR,BVI 90849 12 CAR,VR 90851 12 CAR,BVI 90853 12 CAR,BA 90855 12 CAR,GMN 90857 12 CAR,BVI 90859 12 CAR,GMN 90861 12 CAR,BVI 90863 12 CAR,VR 92183 15 CAR
Goregaon,,22:25,,22:28,22:32,22:35,,22:38,22:41,22:26,22:29,22:46,,
Malad,,22:29,,22:32,22:36,22:39,,22:42,22:45,22:30,22:34,22:50,,
Kandivli,,22:32,,22:35,22:39,22:43,,22:46,22:49,22:33,,22:53,,
BORIVALI,,22:37,22:40,22:41,22:46,22:49,22:32,22:52,22:55,22:39,,23:00,,22:55
Dahisar,,22:41,22:46,,,,22:36,,NOT ON,,,,,22:59
Mira Road,,22:46,22:51,,,,22:41,,SUN,,,,,23:04
Bhayandar,,22:52,22:56,,,,22:46,,ONLY,,,,,23:10
Naigaon,,,23:02,,,,22:52,,,,,,,
Vasai Road,,,23:07,,,,22:57,,,,,,,
Nalla Sopara,,,23:13,,,,23:03,,,,,,,
VIRAR,,,23:20,,,,23:10,,,,,,,
STATIONS DN TRAINS,NSP 92197 15 CAR,VR 94077 12 CAR,VR 90961 12 CAR,VR 90963 12 CAR,BVI 90965 12 CAR,BVI 90967 12 CAR,BA 90969 12 CAR,BVI 90971 12 CAR,VR 90973 12 CAR,VR 90975 12 CAR,BVI 90977 12 CAR,BVI 90979 12 CAR,BYR 90981 12 CAR,VR 90983 12 CAR
CHURCHGATE,,21:57,22:01,,22:05,22:09,22:12,22:12,22:18,,22:21,22:24,22:26,22:30
Marine Lines,,22:00,22:04,,22:08,22:12,22:15,22:15,22:21,,22:24,22:27,22:29,22:33
Charni Road,,22:02,22:06,,22:10,22:14,22:17,22:17,22:23,,22:26,22:29,22:31,22:35
Grant Road,,22:05,22:09,,22:13,22:17,22:20,22:20,22:26,,22:29,22:32,22:34,22:38
M'BAI CENTRAL (L),,22:07,22:11,,22:15,22:19,22:22,22:22,22:28,,22:31,22:34,22:36,22:40
Mahalakshmi,NOT ON,Air,,,22:18,22:22,22:25,,,,22:34,,22:39,
Lower Parel,SUN,Condition,,,22:21,22:25,22:28,,,,22:37,,22:42,
Prabhadevi,ONLY,,,,22:24,22:28,22:31,,,,22:40,,22:45,
DADAR,,22:14,22:18,,22:26,22:30,22:33,22:29,22:35,,22:42,22:41,22:47,22:47
Matunga Road,,,,,22:28,22:32,22:35,,,,22:44,,22:49,
Mahim Jn.,,,,,22:31,22:35,22:38,,,,22:47,,22:52,
BANDRA,,22:20,22:24,22:31,22:35,22:39,22:42,22:35,22:40,,22:51,22:46,22:56,22:52
