,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).1,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).2,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).3,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).4,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).5,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).6,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).7,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).8
756,Mansarovar,00:02,,00:10,,00:16,00:26,,
757,Khandeshwar,00:05,,00:13,,00:19,00:29,,
758,Panvel,00:10,,00:18,,00:24,00:34,,
759,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL)
760,Stations,98257 PL 205,98885 B 85,98573 V 69,98787 GN 87,99001 TPL 1,98259 PL 207,98575 V 71,00:00
761,,,,,,,,,
762,Mumbai CSMT,23:30,23:38,23:42,23:46,TNA,23:52,23:57,
763,Masjid,23:33,23:41,23:45,23:49,00:05,23:55,00:00,
764,Sandhurst Road,23:36,23:44,23:48,23:52,,23:58,00:03,
765,Dockyard Road,23:38,23:46,23:50,23:54,,00:00,00:05,
766,Reay Road,23:40,23:48,23:52,23:56,,00:02,00:07,
767,Cotton Green,23:42,23:50,23:54,23:58,,00:04,00:09,
768,Sewri,23:45,23:53,23:57,00:01,,00:07,00:12,
769,Vadala Road,23:48,23:56,00:00,00:04,,00:10,00:15,
770,King's Circle,,00:00,,00:08,,,,
771,Mahim Jn,,00:02,,00:11,,,,
772,Bandra,,00:07,,00:15,,,,
773,Khar Road,,,,00:20,,,,
774,Santacruz,,,,00:23,,,,
775,Vileparle,,,,00:26,,,,
776,Andheri,,,,00:30,,,,
777,Jogeshwari,,,,00:34,,,,
778,Ramnagar,,,,00:37,,,,
779,Goregaon,,,,00:41,,,,
780,GTB Nagar,23:53,,00:05,,,00:15,00:20,
781,Chunabhatti,23:56,,00:08,,,00:18,00:23,
782,Kurla,23:59,,00:11,,,00:21,00:26,
783,Tilaknagar,00:02,,00:14,,,00:24,00:29,
784,Chembur,00:04,,00:16,,,00:26,00:31,
785,Govandi,00:07,,00:19,,,00:29,00:34,
786,Mankhurd,00:10,,00:22,,,00:32,00:37,
787,Vashi,00:19,,00:31,,,00:41,00:46,
788,Sanpada,00:21,,,,,00:43,,
789,Juinagar,00:24,,,,,00:46,,
790,Nerul,00:28,,,,00:34,00:50,,
791,Seawood Darave,00:31,,,,00:38,00:53,,
792,Belapur CBD,00:35,,,,00:42,00:57,,
793,Kharghar,00:39,,,,00:46,01:01,,
794,Mansarovar,00:42,,,,00:49,01:04,,
795,Khandeshwar,00:45,,,,00:52,01:07,,
796,Panvel,00:50,,,,00:57,01:13,,
