,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).1,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).2,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).3,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).4,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).5,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).6,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).7,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).8
189,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL)
190,Stations,98039 PL 33 X,98041 PL 35,98715 GN 15,98043 PL 37,98501 V 1,98045 PL 39,98047 PLVD 7 X,98813 B 13
191,,,,,,,,,
192,Mumbai CSMT,06:54,06:59,07:05,07:09,07:13,07:17,,07:21
193,Masjid,06:57,07:02,07:08,07:12,07:16,07:20,,07:24
194,Sandhurst Road,07:00,07:05,07:11,07:15,07:19,07:23,,07:27
195,Dockyard Road,07:02,07:07,07:13,07:17,07:21,07:25,,07:29
196,Reay Road,07:04,07:09,07:15,07:19,07:23,07:27,,07:31
197,Cotton Green,07:06,07:11,07:17,07:21,07:25,07:29,,07:33
198,Sewri,07:09,07:14,07:20,07:24,07:28,07:32,,07:36
199,Vadala Road,07:13,07:17,07:23,07:27,07:31,07:35,07:39,07:39
200,King's Circle,,,07:29,,,,,07:43
201,Mahim Jn,,,07:32,,,,,07:46
202,Bandra,,,07:36,,,,,07:50
203,Khar Road,,,07:40,,,,,
204,Santacruz,,,07:43,,,,,
205,Vileparle,,,07:46,,,,,
206,Andheri,,,07:50,,,,,
207,Jogeshwari,,,07:54,,,,,
208,Ramnagar,,,07:57,,,,,
209,Goregaon,,,08:01,,,,,
210,GTB Nagar,07:18,07:22,,07:32,07:36,07:40,07:44,
211,Chunabhatti,07:21,07:25,,07:35,07:39,07:43,07:47,
212,Kurla,07:24,07:28,,07:38,07:42,07:46,07:50,
213,Tilaknagar,07:27,07:31,,07:41,07:45,07:49,07:53,
214,Chembur,07:29,07:33,,07:43,07:47,07:51,07:55,
215,Govandi,07:32,07:36,,07:46,07:50,07:54,07:58,
216,Mankhurd,07:35,07:39,,07:49,07:53,07:57,08:01,
217,Vashi,07:44,07:48,,07:58,08:02,08:06,08:10,
218,Sanpada,07:46,07:50,,08:00,,08:08,08:12,
219,Juinagar,07:49,07:53,,08:03,,08:11,08:15,
220,Nerul,07:53,07:57,,08:07,,08:15,08:19,
221,Seawood Darave,07:56,08:00,,08:10,,08:18,08:22,
222,Belapur CBD,08:00,08:04,,08:14,,08:22,08:26,
223,Kharghar,08:04,08:08,,08:18,,08:26,08:30,
224,Mansarovar,08:07,08:11,,08:21,,08:29,08:33,
225,Khandeshwar,08:10,08:14,,08:24,,08:32,08:36,
226,Panvel,08:15,08:19,,08:29,,08:37,08:41,
227,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL)
228,Stations,98049 PL 41,98309 BR 7 X,98503 VVD 1,98717 GN 17,99009 TPL 9,98051 PL 43,98903 PLGN 3,98311 BR 9
229,,,,,,,,,
230,Mumbai CSMT,07:26,07:30,,07:36,TNA,07:40,,07:48
231,Masjid,07:29,07:33,,07:39,08:03,07:43,,07:51
232,Sandhurst Road,07:32,07:36,,07:42,,07:46,,07:54
233,Dockyard Road,07:34,07:38,,07:44,,07:48,,07:56
234,Reay Road,07:36,07:40,,07:46,,07:50,,07:58
235,Cotton Green,07:38,07:42,,07:48,,07:52,,08:00
236,Sewri,07:41,07:45,,07:51,,07:55,,08:03
237,Vadala Road,07:44,07:48,07:54,07:54,,07:58,08:02,08:06
238,King's Circle,,,,07:58,,,08:09,
239,Mahim Jn,,,,08:01,,,08:12,
240,Bandra,,,,08:05,,,08:16,
241,Khar Road,,,,08:09,,,08:21,
242,Santacruz,,,,08:12,,,08:24,
243,Vileparle,,,,08:15,,,08:27,
244,Andheri,,,,08:19,,,08:31,
245,Jogeshwari,,,,08:23,,,08:35,
246,Ramnagar,,,,08:26,,,08:38,
247,Goregaon,,,,08:30,,,08:43,
248,GTB Nagar,07:49,07:53,07:59,,,08:03,,08:11
249,Chunabhatti,07:52,07:56,08:02,,,08:06,,08:14
250,Kurla,07:55,07:59,08:05,,,08:09,,08:17
251,Tilaknagar,07:58,08:02,08:08,,,08:12,,08:20
252,Chembur,08:00,08:04,08:10,,,08:14,,08:22
253,Govandi,08:03,08:07,08:13,,,08:17,,08:25
254,Mankhurd,08:06,08:10,08:16,,,08:20,,08:28
255,Vashi,08:15,08:19,08:25,,,08:29,,08:37
256,Sanpada,08:17,08:21,,,,08:31,,08:39
257,Juinagar,08:20,08:24,,,,08:34,,08:42
258,Nerul,08:24,08:28,,,08:33,08:38,,08:46
259,Seawood Darave,08:27,08:31,,,08:37,08:41,,08:49
260,Belapur CBD,08:31,08:35,,,08:41,08:45,,08:53
261,Kharghar,08:35,,,,08:45,08:49,,
262,Mansarovar,08:38,,,,08:48,08:52,,
263,Khandeshwar,08:41,,,,08:51,08:55,,
264,Panvel,08:47,,,,08:56,09:00,,
265,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL)
266,Stations,98815 B 15,98902 GNPL 2,98053 PL 45,98055 PL 47 X,98719 GN 19,98313 BRVD 3 X,98057 PL 49 AC,98505 V 3
267,,,,,,,,,
268,Mumbai CSMT,07:51,,07:56,08:00,08:04,,08:08,08:12
269,Masjid,07:54,,07:59,08:03,08:07,,08:11,08:15
270,Sandhurst Road,07:57,,08:02,08:06,08:10,,08:14,08:18
271,Dockyard Road,07:59,,08:04,08:08,08:12,,08:16,08:20
272,Reay Road,08:01,,08:06,08:10,08:14,,08:18,08:22
273,Cotton Green,08:03,,08:08,08:12,08:16,,08:20,08:24
274,Sewri,08:06,,08:11,08:15,08:19,,08:23,08:27
275,Vadala Road,08:09,08:10,08:14,08:18,08:22,08:22,08:26,08:30
276,King's Circle,08:13,,,,08:26,,,
277,Mahim Jn,08:16,,,,08:29,,,
278,Bandra,08:20,,,,08:33,,,
279,Khar Road,,,,,08:37,,,
280,Santacruz,,,,,08:40,,,
281,Vileparle,,,,,08:43,,,
282,Andheri,,,,,08:47,,,
283,Jogeshwari,,,,,08:51,,,
284,Ramnagar,,,,,08:54,,,
285,Goregaon,,,,,08:58,,,
286,GTB Nagar,,08:15,08:19,08:23,,08:27,08:31,08:35
287,Chunabhatti,,08:18,08:22,08:26,,08:30,08:34,08:38
288,Kurla,,08:21,08:25,08:29,,08:33,08:37,08:41
289,Tilaknagar,,08:24,08:28,08:32,,08:36,08:40,08:44
290,Chembur,,08:26,08:30,08:34,,08:38,08:42,08:46
291,Govandi,,08:29,08:33,08:37,,08:41,08:45,08:49
292,Mankhurd,,08:32,08:36,08:40,,08:45,08:49,08:53
293,Vashi,,08:41,08:45,08:49,,08:54,08:58,09:02
294,Sanpada,,08:43,08:47,08:51,,08:56,09:00,
295,Juinagar,,08:46,08:50,08:54,,08:59,09:03,
296,Nerul,,08:50,08:54,08:58,,09:03,09:07,
297,Seawood Darave,,08:53,08:57,09:01,,09:06,09:10,
298,Belapur CBD,,08:57,09:01,09:05,,09:11,09:14,
299,Kharghar,,09:01,09:05,09:09,,,09:18,
300,Mansarovar,,09:04,09:08,09:12,,,09:21,
301,Khandeshwar,,09:07,09:11,09:15,,,09:24,
302,Panvel,,09:12,09:16,09:20,,,09:29,
