,STATIONS UP TRAINS,Virar 92012 15 CAR,Borivali 94104 12 CAR,Borivali 94106 12 CAR,Borivali 94106 12 CAR.1,Virar 94108 12 CAR,Virar 94108 12 CAR.1,Andheri 94110 12 CAR,Goregoan 94112 12 CAR,Goregoan 94112 12 CAR.1,Virar 92014 15 CAR,Virar 92014 15 CAR.1,Borivali 94114 12 CAR,Borivali 94114 12 CAR.1,Virar 90098 12 CAR,Virar 90098 12 CAR.1,Borivali 90100 12 CAR,Borivali 90100 12 CAR.1,Borivali 90100 12 CAR.2,Vasai Road 90102 12 CAR,Vasai Road 90102 12 CAR.1,Vasai Road 90102 12 CAR.2,Dahanu Road 93002 12 CAR,Dahanu Road 93002 12 CAR.1,Dahanu Road 93002 12 CAR.2,Borivali 90104 12 CAR,Borivali 90104 12 CAR.1,Borivali 90104 12 CAR.2,Virar 94006 12 CAR,Virar 94006 12 CAR.1,Virar 94006 12 CAR.2
42,Jogeshwari,06:42,06:45,06:49,06:49,06:49,,06:53,06:53,06:56,,,,,,,,,07:00,07:00,07:00,07:03,07:03,07:03,07:06,07:06,07:06,,,,
43,ANDHERI,06:47,06:50,06:53,06:53,06:53,,06:58,06:58,07:01,06:48,06:48,06:46,06:46,06:51,06:51,07:02,07:02,07:04,07:04,07:04,07:07,07:07,07:07,07:10,07:10,07:10,07:07,07:07,07:07,
44,Vile Parle,06:50,06:53,06:56,06:56,06:56,,Air,Air,07:04,,,,,,,,,07:07,07:07,07:07,07:10,07:10,07:10,07:13,07:13,07:13,,,,
45,Santa Cruz,06:53,06:56,06:59,06:59,06:59,,Condition,Condition,07:07,,,,,,,,,07:10,07:10,07:10,07:13,07:13,07:13,07:17,07:17,07:17,,,,
46,Khar Road,06:56,06:59,07:02,07:02,07:02,,,,07:10,,,,,,,,,07:13,07:13,07:13,07:16,07:16,07:16,07:20,07:20,07:20,,,,
47,BANDRA,07:00,07:03,07:06,07:06,07:06,,07:07,07:07,07:14,06:58,06:58,,,07:01,07:01,07:12,07:12,07:17,07:17,07:17,07:20,07:20,07:20,07:24,07:24,07:24,07:16,07:16,07:16,
48,Mahim Jn.,07:03,07:06,07:09,07:09,07:09,,,,07:17,,,,,,,,,07:20,07:20,07:20,07:23,07:23,07:23,07:27,07:27,07:27,,,,
49,Matunga Road,07:06,07:09,07:12,07:12,07:12,,,,07:20,,,,,,,,,07:23,07:23,07:23,07:26,07:26,07:26,07:30,07:30,07:30,,,,
50,DADAR,07:10,07:13,07:16,07:16,07:16,,07:13,07:13,07:24,07:03,07:03,,,07:07,07:07,07:18,07:18,07:27,07:27,07:27,07:30,07:30,07:30,07:33,07:33,07:33,07:22,07:22,07:22,
51,Prabhadevi,07:12,07:15,07:18,07:18,07:18,,,,07:26,,,,,,,,,07:29,07:29,07:29,07:32,07:32,07:32,07:35,07:35,07:35,,,,
52,Lower Parel,07:15,07:18,07:21,07:21,07:21,,,,07:29,,,,,,,,,07:32,07:32,07:32,07:35,07:35,07:35,07:38,07:38,07:38,,,,
53,Mahalakshmi,07:18,07:21,07:24,07:24,07:24,,,,07:32,,,,,,,,,07:35,07:35,07:35,07:38,07:38,07:38,07:41,07:41,07:41,,,,
54,M'BAI CENTRAL(L,07:21,07:24,07:27,07:27,07:27,,07:20,07:20,07:35,07:10,07:10,,,07:16,07:16,07:25,07:25,07:38,07:38,07:38,07:41,07:41,07:41,07:44,07:44,07:44,07:29,07:29,07:29,
55,Grant Road,07:23,07:26,07:29,07:29,07:29,,07:22,07:22,07:37,07:12,07:12,,,07:18,07:18,07:27,07:27,07:40,07:40,07:40,07:43,07:43,07:43,07:46,07:46,07:46,07:31,07:31,07:31,
56,Charni Road,07:25,07:28,07:31,07:31,07:31,,07:24,07:24,07:39,07:14,07:14,,,07:20,07:20,07:29,07:29,07:42,07:42,07:42,07:45,07:45,07:45,07:48,07:48,07:48,07:33,07:33,07:33,
57,Marine Lines,07:28,07:31,07:34,07:34,07:34,,07:27,07:27,07:42,07:17,07:17,,,07:23,07:23,07:32,07:32,07:45,07:45,07:45,07:48,07:48,07:48,07:51,07:51,07:51,07:36,07:36,07:36,
58,CHURCHGATE,07:33,07:36,07:39,07:39,07:39,,07:32,07:32,07:45,07:22,07:22,,,07:28,07:28,07:37,07:37,07:48,07:48,07:48,07:51,07:51,07:51,07:54,07:54,07:54,07:40,07:40,07:40,
