Train No,96002,97302,96102,97602,97304,97604,96302,97306,96602,97308,96304,95902,97606,96104
Dolavli,,,,,,,,,,,,,,
Kelavli,,,,,,,,,,,,,,
Palasdhari,,,,,,,,,,,,,,
Karjat,,,,,,,,,,,,,,
Bhivpuri Road,,,,,,,,,,,,,,
Neral,,,,,,,,,,,,,,
Shelu,,,,,,,,,,,,,,
Vangani,,,,,,,,,,,,,,
Badlapur,,,,,17:00,,,,,,,,,17:16
Ambernath,,,,,17:08,,,,,,,,,17:24
Ulhas Nagar,,,,,17:12,,,,,,,,,17:28
Vithalwadi,,,,,17:15,,,,,,,,,17:31
Kalyan,,,17:12,,17:20,,16:57,17:23,,17:27,,17:30,,17:36
Thakurli,,,…,,,,17:02,,,,,,,
Dombivli,,16:55,17:19,,17:26,,17:05,17:29,,17:33,17:13,17:36,,17:42
Kopar,,16:59,…,,…,,17:08,…,,…,17:17,…,,…
Diva,,17:04,…,,17:31,,17:13,…,,…,17:22,…,,…
Mumbra,,17:08,…,,…,,17:17,…,,…,17:26,…,,…
Kalva,,17:14,…,,…,,17:23,…,,…,17:32,…,,…
Thane,17:14,17:19,17:34,17:21,17:41,17:25,17:28,17:44,17:31,17:49,17:37,17:52,,17:57
Mulund,17:19,17:23,...,17:27,17:45,17:31,17:34,...,17:37,...,17:41,...,,18:01
Nahur,17:22,17:26,...,17:30,...,17:34,17:37,...,17:40,...,17:44,...,,...
Bhandup,17:25,17:29,17:41,17:33,...,17:37,17:40,...,17:43,...,17:47,17:59,,...
Kanjur Marg,17:28,17:32,...,17:36,...,17:40,17:43,...,17:46,...,17:50,...,,...
Vikhroli,17:31,17:35,...,17:39,...,17:43,17:46,...,17:49,...,17:53,...,,...
Ghatkopar,17:35,17:39,17:48,17:43,17:56,17:47,17:50,17:59,17:53,18:04,17:57,18:07,,18:13
Vidyavihar,17:38,17:42,...,17:46,...,17:50,17:53,...,17:56,...,18:00,...,,...
Kurla,17:41,17:45,17:52,17:49,18:00,17:53,17:56,18:03,17:59,18:08,18:03,18:11,18:06,18:17
Sion,17:45,17:49,...,17:53,...,17:57,18:00,...,18:03,...,18:07,...,18:10,...
Matunga,17:48,17:52,...,17:56,...,18:00,18:03,...,18:06,...,18:10,...,18:13,...
Dadar,17:51,17:55,17:59,17:59,18:07,18:03,18:06,18:10,18:10,18:15,18:14,18:18,18:17,18:24
Parel,,17:58,…,18:02,…,18:06,18:09,…,,…,18:17,…,18:20,…
Currey Road,,18:01,…,18:05,…,18:09,18:12,…,,…,18:20,…,18:23,…
Chinchpokli,,18:03,…,18:07,…,18:11,18:14,…,,…,18:22,…,18:25,…
Byculla,,18:05,18:05,18:09,18:13,18:13,18:16,18:16,,18:21,18:24,18:24,18:27,18:30
Sandhurst Road,,18:08,…,18:12,…,18:16,18:19,…,,…,18:27,…,18:30,…
Masjid,,18:11,…,18:15,…,18:19,18:22,…,,…,18:30,…,18:33,…
CSMT,,18:14,18:14,18:18,18:21,18:22,18:26,18:26,,18:30,18:33,18:34,18:37,18:38
Train No,97410,95740,97108,95332,97412,95010,95614,97240,97110,97632,97414,97112,95334,97416
Train Code,T 114,K 100 X,K 92,A 54,T 116 X,KP 10,TL 54,DDL 2,K 96,C 32 X,T 118,K 98 X,A 56,T 120
Kasara,,,,,,,,,,,,,,
Khardi,,,,,,,,,,,,,,
Atgaon,,,,,,,,,,,,,,
Asangaon,,,,,,,,,,,,,,
Vasind,,,,,,,,,,,,,,
Khadavli,,,,,,,,,,,,,,
Titwala,,,,,,,17:36,,,,,,,
Ambivli,,,,,,,17:44,,,,,,,
Shahad,,,,,,,17:47,,,,,,,
Khopoli,,,,,,16:30,,,,,,,,
Lowjee,,,,,,16:34,,,,,,,,
Dolavli,,,,,,16:38,,,,,,,,
Kelavli,,,,,,16:41,,,,,,,,
Palasdhari,,,,,,16:48,,,,,,,,
Karjat,,,,,,16:57,,,,,,,,
Bhivpuri Road,,,,,,17:06,,,,,,,,
Neral,,,,,,17:13,,,,,,,,
Shelu,,,,,,17:17,,,,,,,,
Vangani,,,,,,17:21,,,,,,,,
Badlapur,,,,,,17:29,,,,,,,,
Ambernath,,,,17:32,,17:36,,,,,,,17:49,
Ulhas Nagar,,,,17:37,,17:41,,,,,,,17:55,
Vithalwadi,,,,17:40,,17:44,,,,,,,17:58,
Kalyan,,17:39,17:13,17:45,,17:50,17:53,,17:27,,,17:37,18:05,
Thakurli,,,17:19,,,,,,17:34,,,17:44,,
Dombivli,,17:47,17:22,17:51,,17:56,17:59,17:32,17:37,,,17:47,18:12,
Kopar,,…,17:25,…,,…,…,17:36,17:40,,,17:50,…,
Diva,,…,17:30,…,,…,…,17:41,17:45,,,17:55,…,
Mumbra,,…,17:34,…,,…,…,17:45,17:49,,,17:59,…,
Kalva,,…,17:40,…,,…,…,17:51,17:55,,,18:05,…,
Thane,17:41,18:02,17:45,18:06,17:52,18:11,18:14,17:56,18:00,,18:07,18:11,18:27,18:16
Mulund,17:47,18:06,17:51,18:10,17:58,...,...,18:02,18:06,,18:13,18:17,18:31,18:22
Nahur,17:50,...,17:54,...,18:01,...,...,18:05,18:09,,18:16,18:20,...,18:25
Bhandup,17:53,...,17:57,...,18:04,...,...,18:08,18:12,,18:19,18:23,...,18:28
Kanjur Marg,17:56,...,18:00,...,18:07,...,...,18:11,18:15,,18:22,18:26,...,18:31
Vikhroli,17:59,...,18:03,...,18:10,...,...,18:14,18:18,,18:25,18:29,18:38,18:34
Ghatkopar,18:03,18:17,18:07,18:21,18:14,18:25,18:28,18:18,18:22,,18:29,18:33,...,18:38
Vidyavihar,18:06,...,18:10,...,18:17,...,...,18:21,18:25,,18:32,18:36,...,18:41
Kurla,18:10,18:21,18:14,18:25,18:20,18:29,18:32,18:24,18:29,18:32,18:36,18:40,18:45,18:44
Sion,18:14,...,18:18,...,18:24,...,...,18:28,18:33,18:36,18:40,18:44,...,18:48
Matunga,18:17,...,18:21,...,18:27,...,...,18:31,18:36,18:39,18:43,18:47,...,18:51
Dadar,18:21,18:28,18:25,18:32,18:31,18:36,18:39,18:35,18:40,18:43,18:47,18:51,18:53,18:55
Parel,18:24,…,18:28,…,18:34,…,…,,18:43,18:46,18:50,18:54,…,18:58
Currey Road,18:27,…,18:31,…,18:37,…,…,,18:46,18:49,18:53,18:57,…,19:01
Chinchpokli,18:29,…,18:33,…,18:39,…,…,,18:48,18:51,18:55,18:59,…,19:03
Byculla,18:31,18:34,18:35,18:38,18:41,18:42,18:45,,18:50,18:53,18:57,19:01,18:59,19:05
Sandhurst Road,18:34,…,18:38,…,18:44,…,…,,18:53,18:56,19:00,19:04,…,19:08
Masjid,18:37,…,18:41,…,18:47,…,…,,18:56,18:59,19:03,19:07,…,19:11
CSMT,18:40,18:42,18:45,18:46,18:50,18:51,18:54,,18:59,19:02,19:06,19:10,19:11,19:14
Train No,97242,97418,95424,95336,95742,97634,95134,97114,95512,97420,97116,95744,97244,95234
Train Code,DL 40,DT 8 X,N 28,DA 4,K 106 15 C X,C 34,S 40,K 102,AN 22,PT 6,TK 18,K 108,DL 42,BL 52
Kasara,,,17:02,,,,,,,,,,,
Khardi,,,17:19,,,,,,,,,,,
Atgaon,,,17:29,,,,,,,,,,,
Asangaon,,,17:39,,,,,,17:50,,,,,
Vasind,,,17:45,,,,,,17:58,,,,,
Khadavli,,,17:52,,,,,,18:05,,,,,
Titwala,,,17:59,,,,,,18:12,,,,,
Ambivli,,,18:05,,,,,,18:18,,,,,
Shahad,,,18:08,,,,,,18:21,,,,,
Khopoli,,,,,,,,,,,,,,
Lowjee,,,,,,,,,,,,,,
Dolavli,,,,,,,,,,,,,,
Kelavli,,,,,,,,,,,,,,
Palasdhari,,,,,,,,,,,,,,
Karjat,,,,,,,17:33,,,,,,,
Bhivpuri Road,,,,,,,17:42,,,,,,,
Neral,,,,,,,17:49,,,,,,,
Shelu,,,,,,,17:53,,,,,,,
Vangani,,,,,,,17:57,,,,,,,
Badlapur,,,,,,,18:05,,,,,,,18:17
Ambernath,,,,18:03,,,18:12,,,,,,,18:25
Ulhas Nagar,,,,18:08,,,18:16,,,,,,,18:29
Vithalwadi,,,,18:11,,,18:19,,,,,,,18:32
Kalyan,,,18:14,18:18,18:22,,18:25,18:00,18:28,,18:08,18:25,,18:37
Thakurli,,,,,…,,,18:07,…,,18:14,18:31,,
Dombivli,17:58,,18:21,18:25,18:29,,18:32,18:10,18:35,,18:17,18:34,18:20,18:43
Kopar,18:01,,…,…,…,,…,18:13,…,,18:20,18:37,18:24,…
Diva,18:06,,18:26,…,…,,…,18:18,18:40,,18:25,18:42,18:29,…
Mumbra,18:10,,…,…,…,,…,18:22,…,,18:29,18:46,18:33,…
Kalva,18:16,,…,…,…,,…,18:28,…,,18:35,18:52,18:39,…
Thane,18:21,18:24,18:37,18:41,18:44,,18:47,18:33,18:51,18:36,18:39,18:57,18:44,19:00
Mulund,18:26,18:30,18:41,...,...,,...,18:38,18:55,18:42,,19:01,18:49,...
Nahur,18:29,18:33,...,...,...,,...,18:41,...,18:45,,...,18:52,...
Bhandup,18:32,18:36,...,...,...,,...,18:44,...,18:48,,...,18:55,19:08
Kanjur Marg,18:35,18:39,...,...,...,,...,18:47,...,18:51,,...,18:58,...
Vikhroli,18:38,18:42,...,...,...,,...,18:50,...,18:54,,19:09,19:01,...
Ghatkopar,18:42,18:46,18:52,18:56,18:59,,19:02,18:54,19:06,18:58,,...,19:05,19:15
Vidyavihar,18:45,18:49,...,...,...,,...,18:57,...,19:01,,...,19:08,...
Kurla,18:48,18:52,18:56,19:00,19:03,18:56,19:06,19:00,19:10,19:04,,19:17,19:11,19:20
Sion,18:52,18:56,...,...,...,19:00,...,19:04,...,19:08,,...,19:15,...
Matunga,18:55,18:59,...,...,...,19:03,...,19:07,...,19:11,,...,19:18,...
Dadar,18:59,19:03,19:04,19:08,19:11,19:07,19:14,19:11,19:18,19:15,,19:25,19:22,19:28
Parel,19:02,,…,,…,19:10,…,19:14,…,19:18,,…,19:25,…
Currey Road,19:05,,…,,…,19:13,…,19:17,…,PR,,…,19:28,…
Chinchpokli,19:07,,…,,…,19:15,…,19:19,…,,,…,19:30,…
Byculla,19:09,,19:10,,19:17,19:17,19:20,19:21,19:24,,,19:31,19:32,19:34
Sandhurst Road,19:12,,…,,…,19:20,…,19:24,…,,,…,19:35,…
Masjid,19:15,,…,,…,19:23,…,19:27,…,,,…,19:38,…
CSMT,19:18,,19:19,,19:25,19:26,19:28,19:30,19:33,,TNA,19:40,19:41,19:44
Train No,97422,97118,95338,95616,97424,97246,95136,97120,97636,97426,97248,97122,95236,97124
Train Code,T 122,K 104 X,DA 6,TL 56,T 124 AC X,DDL 4 X,S 42,K 110,C 36,DT 10 X,DL 44 X,CK 6,BL 54,K 112
Kasara,,,,,,,,,,,,,,
Khardi,,,,,,,,,,,,,,
Atgaon,,,,,,,,,,,,,,
Asangaon,,,,,,,,,,,,,,
Vasind,,,,,,,,,,,,,,
Khadavli,,,,,,,,,,,,,,
Titwala,,,,18:30,,,,,,,,,,
Ambivli,,,,18:38,,,,,,,,,,
Shahad,,,,18:41,,,,,,,,,,
Khopoli,,,,,,,,,,,,,,
Lowjee,,,,,,,,,,,,,,
Dolavli,,,,,,,,,,,,,,
Kelavli,,,,,,,,,,,,,,
Palasdhari,,,,,,,,,,,,,,
Karjat,,,,,,,17:56,,,,,,,
Bhivpuri Road,,,,,,,18:05,,,,,,,
Neral,,,,,,,18:12,,,,,,,
Shelu,,,,,,,18:16,,,,,,,
Vangani,,,,,,,18:20,,,,,,,
Badlapur,,,,,,,18:28,,,,,,18:55,
Ambernath,,,18:30,,,,18:35,,,,,,19:03,
Ulhas Nagar,,,18:35,,,,18:40,,,,,,19:07,
Vithalwadi,,,18:38,,,,18:43,,,,,,19:10,
Kalyan,,18:21,18:43,18:46,,,18:49,18:34,,,,18:48,19:15,18:51
Thakurli,,18:27,,,,,,18:40,,,,18:54,…,18:57
Dombivli,,18:30,18:49,18:53,,18:37,18:57,18:43,,,18:52,18:57,19:21,19:00
Kopar,,18:34,…,…,,18:41,…,18:46,,,18:56,19:00,…,19:03
Diva,,18:38,…,…,,18:46,…,18:51,,,19:01,19:05,…,19:08
Mumbra,,18:42,…,…,,18:50,…,18:55,,,19:05,19:09,…,19:12
Kalva,,18:48,…,…,,18:56,…,19:01,,,19:11,19:15,…,19:18
Thane,18:48,18:53,19:04,19:08,18:57,19:01,19:12,19:06,,19:10,19:16,19:20,19:36,19:23
Mulund,18:54,18:58,19:08,19:12,19:03,19:06,...,19:10,,19:16,19:20,19:24,19:40,19:27
Nahur,18:57,19:01,...,...,19:06,19:09,...,19:13,,19:19,19:23,19:27,...,19:30
Bhandup,19:00,19:04,...,...,19:09,19:12,...,19:16,,19:22,19:26,19:30,...,19:33
Kanjur Marg,19:03,19:07,...,...,19:12,19:15,...,19:19,,19:25,19:29,19:33,...,19:36
Vikhroli,19:06,19:10,...,19:21,19:15,19:18,...,19:22,,19:28,19:32,19:36,...,19:39
Ghatkopar,19:10,19:14,19:20,...,19:19,19:22,19:27,19:26,,19:32,19:36,19:40,19:51,19:43
Vidyavihar,19:13,19:17,...,...,19:22,19:25,...,19:29,,19:35,19:39,19:43,...,19:46
Kurla,19:16,19:20,19:24,19:28,19:25,19:28,19:31,19:32,19:35,19:38,19:42,19:46,19:55,19:49
Sion,19:20,19:24,...,...,19:29,19:32,...,19:36,19:39,19:42,19:46,,...,19:53
Matunga,19:23,19:27,...,...,19:32,19:35,...,19:39,19:42,19:45,19:49,,...,19:56
Dadar,19:27,19:31,19:32,19:37,19:36,19:39,19:40,19:43,19:46,19:49,19:53,,20:03,20:00
Parel,19:30,19:34,,…,19:39,,…,19:46,19:49,,19:56,,…,20:03
Currey Road,19:33,19:37,,…,19:42,,…,19:49,19:52,,19:59,,…,20:07
Chinchpokli,19:35,19:39,,…,19:44,,…,19:51,19:54,,20:01,,…,20:11
Byculla,19:37,19:41,,19:43,19:46,,19:46,19:53,19:56,,20:03,,20:09,20:13
Sandhurst Road,19:40,19:44,,…,19:49,,…,19:56,19:59,,20:06,,…,20:16
Masjid,19:43,19:47,,…,19:52,,…,19:59,20:02,,20:09,,…,20:19
CSMT,19:46,19:50,,19:52,19:55,,19:56,20:02,20:06,,20:12,CLA,20:18,20:22
Train No,95012,96516,97126,97428,95340,97128,95426,97430,95138,97130,97132,97432,96646,97250
Train Code,KP 12,AN 24,TK 20,T 126,A 58,K 114 X,N 30,T 128 X,S 44,DK 14,K 116,T 130 X,TTL 2,DL 46 X
Kasara,,,,,,,18:17,,,,,,,
Khardi,,,,,,,18:34,,,,,,,
Atgaon,,,,,,,18:44,,,,,,,
Asangaon,,18:15,,,,,18:54,,,,,,,
Vasind,,18:23,,,,,19:00,,,,,,,
Khadavli,,18:30,,,,,19:07,,,,,,,
Titwala,,18:37,,,,,19:14,,,,,,19:01,
Ambivli,,18:43,,,,,19:20,,,,,,19:09,
Shahad,,18:46,,,,,19:23,,,,,,19:12,
Khopoli,18:02,,,,,,,,,,,,,
Lowjee,18:06,,,,,,,,,,,,,
Dolavli,18:10,,,,,,,,,,,,,
Kelavli,18:13,,,,,,,,,,,,,
Palasdhari,18:20,,,,,,,,,,,,,
Karjat,18:28,,,,,,,,18:40,,,,,
Bhivpuri Road,18:37,,,,,,,,18:49,,,,,
Neral,18:44,,,,,,,,18:56,,,,,
Shelu,18:48,,,,,,,,19:00,,,,,
Vangani,18:52,,,,,,,,19:04,,,,,
Badlapur,19:00,,,,,,,,19:12,,,,,
Ambernath,19:07,,,,19:12,,,,19:19,,,,,
Ulhas Nagar,19:11,,,,19:17,,,,19:23,,,,,
Vithalwadi,19:14,,,,19:20,,,,19:26,,,,,
Kalyan,19:21,18:54,18:58,,19:25,19:02,19:29,,19:32,19:08,19:12,,19:17,
Thakurli,…,19:00,19:04,,…,19:08,…,,…,19:15,19:19,,19:22,
Dombivli,19:27,19:03,19:07,,19:32,19:11,19:36,,19:39,19:18,19:22,,19:25,19:28
Kopar,…,19:06,19:10,,…,19:15,…,,…,19:22,19:26,,19:29,19:33
Diva,…,19:11,19:15,,19:37,19:20,…,,…,19:27,19:31,,19:34,19:38
Mumbra,…,19:15,19:19,,…,19:24,…,,…,19:31,19:35,,19:38,19:42
Kalva,…,19:21,19:25,,…,19:30,…,,…,19:37,19:41,,19:44,19:48
Thane,19:42,19:26,19:30,19:30,19:48,19:35,19:51,19:38,19:54,19:42,19:46,19:49,19:49,19:53
Mulund,...,19:31,,19:36,19:52,19:40,...,19:44,...,19:47,19:51,19:55,,19:58
Nahur,...,19:34,,19:39,...,19:43,...,19:47,...,19:50,19:54,19:58,,20:01
Bhandup,19:50,19:37,,19:42,...,19:46,19:59,19:50,...,19:53,19:57,20:01,,20:04
Kanjur Marg,...,19:40,,19:45,...,19:49,...,19:53,...,19:56,20:00,20:04,,20:07
Vikhroli,...,19:43,,19:48,20:00,19:52,...,19:56,20:07,19:59,20:03,20:07,,20:10
Ghatkopar,19:58,19:47,,19:52,...,19:56,20:07,20:00,20:11,20:03,20:07,20:11,,20:14
Vidyavihar,...,19:50,,19:55,...,19:59,...,20:03,...,20:06,20:10,20:14,,20:17
Kurla,20:02,19:53,,19:58,20:08,20:02,20:11,20:06,20:15,20:09,20:13,20:17,,20:20
Sion,...,19:57,,20:02,...,20:06,...,20:10,...,20:13,20:17,20:21,,20:24
Matunga,...,20:00,,20:05,...,20:09,...,20:13,...,20:16,20:20,20:24,,20:27
Dadar,20:10,20:04,,20:09,20:16,20:13,20:19,20:17,20:23,20:20,20:24,20:28,,20:31
Parel,…,20:07,,20:12,…,20:16,…,20:20,…,,20:27,20:31,,20:34
Currey Road,…,20:11,,20:15,…,20:19,…,20:23,…,,20:30,20:34,,20:37
Chinchpokli,…,20:15,,20:18,…,20:21,…,20:26,…,,20:32,20:36,,20:39
Byculla,20:16,20:17,,20:20,20:23,20:23,20:26,20:28,20:32,,20:35,20:39,,20:42
Sandhurst Road,…,20:20,,20:23,…,20:26,…,20:31,…,,20:38,20:42,,20:45
Masjid,…,20:23,,20:26,…,20:29,…,20:34,…,,20:41,20:45,,20:48
CSMT,20:24,20:26,TNA,20:30,20:32,20:34,20:35,20:38,20:41,,20:44,20:48,TNA,20:52
Train No,95514,97134,95238,97434,97136,97252,97138,97140,96326,95342,97142,95240,96648,97144
Train Code,AN 26,K 118,BL 56,T 132,PK 20 X,DL 48 AC,K 120 X,TK 22,A 60,A 62,K 122 AC X,BL 58,TL 58,PK 22
Kasara,,,,,,,,,,,,,,
Khardi,,,,,,,,,,,,,,
Atgaon,,,,,,,,,,,,,,
Asangaon,19:10,,,,,,,,,,,,,
Vasind,19:18,,,,,,,,,,,,,
Khadavli,19:25,,,,,,,,,,,,,
Titwala,19:32,,,,,,,,,,,,19:45,
Ambivli,19:38,,,,,,,,,,,,19:53,
Shahad,19:41,,,,,,,,,,,,19:56,
Khopoli,,,,,,,,,,,,,,
Lowjee,,,,,,,,,,,,,,
Dolavli,,,,,,,,,,,,,,
Kelavli,,,,,,,,,,,,,,
Palasdhari,,,,,,,,,,,,,,
Karjat,,,,,,,,,,,,,,
Bhivpuri Road,,,,,,,,,,,,,,
Neral,,,,,,,,,,,,,,
Shelu,,,,,,,,,,,,,,
Vangani,,,,,,,,,,,,,,
Badlapur,,,19:34,,,,,,,,,20:03,,
Ambernath,,,19:42,,,,,,19:37,20:05,,20:11,,
Ulhas Nagar,,,19:46,,,,,,19:42,20:10,,20:15,,
Vithalwadi,,,19:49,,,,,,19:45,20:13,,20:18,,
Kalyan,19:47,19:26,19:55,,19:38,,19:45,19:48,19:51,20:19,19:56,20:23,20:03,20:10
Thakurli,…,19:32,…,,19:44,,19:51,19:54,19:58,,20:03,,20:10,20:17
Dombivli,19:54,19:35,20:02,,19:47,19:50,19:54,19:57,20:01,20:25,20:07,20:29,20:14,20:20
Kopar,…,19:38,…,,19:50,19:54,19:57,20:01,20:05,…,20:10,…,20:17,20:23
Diva,…,19:43,…,,19:55,19:59,20:02,20:06,20:10,…,20:15,…,20:22,20:28
Mumbra,…,19:47,…,,19:59,20:03,20:06,20:10,20:14,…,20:19,…,20:26,20:32
Kalva,…,19:53,…,,20:05,20:09,20:12,20:16,20:20,…,20:25,…,20:32,20:38
Thane,20:09,19:58,20:17,20:01,20:10,20:14,20:17,20:21,20:26,20:40,20:30,20:44,20:37,20:43
Mulund,20:13,20:03,...,20:07,20:14,20:19,20:22,,20:31,...,20:35,20:48,20:42,20:49
Nahur,...,20:06,...,20:10,20:17,20:22,20:25,,20:34,...,20:38,...,20:45,20:52
Bhandup,...,20:09,...,20:13,20:20,20:25,20:29,,20:37,20:51,20:41,...,20:48,20:55
Kanjur Marg,...,20:12,...,20:16,20:23,20:28,20:32,,20:40,...,20:44,...,20:51,20:58
Vikhroli,...,20:15,...,20:19,20:26,20:31,20:35,,20:43,...,20:47,...,20:54,21:01
Ghatkopar,20:25,20:19,20:32,20:23,20:30,20:35,20:39,,20:47,20:57,20:51,20:59,20:58,21:05
Vidyavihar,...,20:22,...,20:26,20:33,20:38,20:42,,20:50,...,20:54,...,21:01,21:08
Kurla,20:29,20:25,20:36,20:29,20:36,20:41,20:45,,20:53,21:01,20:57,21:03,21:04,21:11
Sion,...,20:29,...,20:33,20:40,20:45,20:49,,20:57,...,21:01,...,21:08,21:15
Matunga,...,20:32,...,20:36,20:43,20:48,20:52,,21:00,...,21:04,...,21:11,21:18
Dadar,20:37,20:36,20:44,20:40,20:47,20:52,20:56,,21:04,21:09,21:08,21:12,21:15,21:22
Parel,…,20:39,…,20:43,20:50,20:55,20:59,,21:07,…,21:11,…,21:18,21:25
Currey Road,…,20:42,…,20:46,PR,20:58,21:02,,21:10,…,21:14,…,21:21,PR
Chinchpokli,…,20:44,…,20:48,,21:00,21:04,,21:12,…,21:16,…,21:23,
Byculla,20:43,20:46,20:50,20:50,,21:03,21:06,,21:14,21:17,21:18,21:21,21:25,
Sandhurst Road,…,20:49,…,20:53,,21:06,21:09,,21:17,…,21:21,…,21:28,
Masjid,…,20:52,…,20:56,,21:09,21:12,,21:20,…,21:24,…,21:31,
CSMT,20:55,20:56,20:59,20:59,,21:12,21:16,TNA,21:24,21:27,21:28,21:32,21:35,
Train No,95140,97254,95746,97436,96518,97256,97146,96650,97148,97150,95344,95242,96222,95516
Train Code,S 46,DL 50,K 128 15 C X,T 134,AN 28,DL 52 X,K 124,TL 60,K 126 X,PK 24,A 64,BL 62,BL 60,AN 30
Kasara,,,,,,,,,,,,,,
Khardi,,,,,,,,,,,,,,
Atgaon,,,,,,,,,,,,,,
Asangaon,,,,,19:42,,,,,,,,,20:33
Vasind,,,,,19:50,,,,,,,,,20:41
Khadavli,,,,,19:57,,,,,,,,,20:48
Titwala,,,,,20:04,,,20:14,,,,,,20:55
Ambivli,,,,,20:10,,,20:23,,,,,,21:01
Shahad,,,,,20:13,,,20:27,,,,,,21:04
Khopoli,,,,,,,,,,,,,,
Lowjee,,,,,,,,,,,,,,
Dolavli,,,,,,,,,,,,,,
Kelavli,,,,,,,,,,,,,,
Palasdhari,,,,,,,,,,,,,,
Karjat,19:43,,,,,,,,,,,,,
Bhivpuri Road,19:52,,,,,,,,,,,,,
Neral,19:59,,,,,,,,,,,,,
Shelu,20:03,,,,,,,,,,,,,
Vangani,20:07,,,,,,,,,,,,,
Badlapur,20:15,,,,,,,,,,,20:46,20:22,
Ambernath,20:22,,,,,,,,,,20:50,20:54,20:30,
Ulhas Nagar,20:26,,,,,,,,,,20:55,20:58,20:34,
Vithalwadi,20:29,,,,,,,,,,20:58,21:01,20:37,
Kalyan,20:35,,20:41,,20:21,,20:29,20:34,20:38,20:43,21:04,21:08,20:46,21:12
Thakurli,,,…,,20:27,,20:35,20:40,20:44,20:49,,,20:52,
Dombivli,20:42,20:23,20:48,,20:30,20:33,20:38,20:43,20:47,20:52,21:11,21:15,20:55,21:20
Kopar,…,20:27,…,,20:33,20:37,20:41,20:46,20:50,20:55,…,…,20:58,…
Diva,…,20:32,…,,20:38,20:42,20:46,20:51,20:55,21:00,…,…,21:03,21:25
Mumbra,…,20:36,…,,20:42,20:46,20:50,20:55,20:59,21:04,…,…,21:07,…
Kalva,…,20:42,…,,20:48,20:52,20:56,21:01,21:05,21:10,…,…,21:13,…
Thane,20:57,20:47,21:04,20:50,20:53,20:57,21:01,21:06,21:10,21:15,21:26,21:30,21:18,21:35
Mulund,...,20:53,…,20:56,20:59,21:03,21:07,21:11,21:15,21:19,...,...,21:23,21:39
Nahur,...,20:56,...,20:59,21:02,21:06,21:10,21:14,21:18,21:22,...,...,21:26,...
Bhandup,...,20:59,...,21:02,21:05,21:09,21:13,21:17,21:21,21:25,...,...,21:29,...
Kanjur Marg,...,21:02,...,21:05,21:08,21:12,21:16,21:20,21:24,21:28,...,...,21:32,...
Vikhroli,...,21:05,...,21:08,21:11,21:15,21:19,21:23,21:27,21:31,...,...,21:35,...
Ghatkopar,21:12,21:09,21:17,21:12,21:15,21:19,21:23,21:27,21:31,21:35,21:39,21:43,21:39,21:51
Vidyavihar,...,21:12,...,21:15,21:18,21:22,21:26,21:30,21:34,21:38,...,...,21:42,...
Kurla,21:16,21:15,21:22,21:18,21:21,21:25,21:29,21:33,21:37,21:41,21:43,21:47,21:45,21:55
Sion,...,21:19,...,21:22,21:25,21:29,21:33,21:37,21:41,21:45,...,...,21:49,...
Matunga,...,21:22,...,21:25,21:28,21:32,21:36,21:40,21:44,21:48,...,...,21:52,...
Dadar,21:24,21:26,21:30,21:29,21:32,21:36,21:40,21:44,21:48,21:52,21:51,21:55,21:56,22:03
Parel,…,21:29,…,21:32,21:35,21:39,21:43,21:47,21:51,21:55,…,…,21:59,…
Currey Road,…,21:32,…,21:35,21:38,21:42,21:46,21:50,21:54,PR,…,…,22:02,…
Chinchpokli,…,21:34,…,21:37,21:40,21:44,21:48,21:52,21:56,,…,,22:04,…
Byculla,21:30,21:36,21:36,21:39,21:42,21:46,21:50,21:54,21:58,,21:58,22:02,22:06,22:11
Sandhurst Road,…,21:39,…,21:42,21:45,21:49,21:53,21:57,22:01,,…,…,22:09,…
Masjid,…,21:42,…,21:45,21:48,21:52,21:56,22:00,22:04,,…,…,22:12,…
CSMT,21:39,21:45,21:47,21:48,21:52,21:56,22:00,22:03,22:08,,22:07,22:11,22:15,22:20
Train No,97438,97152,95346,96652,95428,97258,97154,97440,96016,95142,96654,97156,97638,96224
Train Code,T 136 X,TK 24,A 66,TL 62,N 32,DL 54 X,CK 8,DT 12 X,SKP 16,S 48,TL 64,PK 26,C 38,BL 64
Kasara,,,,,20:15,,,,,,,,,
Khardi,,,,,20:32,,,,,,,,,
Atgaon,,,,,20:42,,,,,,,,,
Asangaon,,,,,20:52,,,,,,,,,
Vasind,,,,,20:58,,,,,,,,,
Khadavli,,,,,21:05,,,,,,,,,
Titwala,,,,20:37,21:12,,,,,,21:00,,,
Ambivli,,,,20:45,21:18,,,,,,21:08,,,
Shahad,,,,20:48,21:21,,,,,,21:11,,,
Khopoli,,,,,,,,,20:03,,,,,
Lowjee,,,,,,,,,20:07,,,,,
Dolavli,,,,,,,,,20:11,,,,,
Kelavli,,,,,,,,,20:14,,,,,
Palasdhari,,,,,,,,,20:21,,,,,
Karjat,,,,,,,,,20:28,20:38,,,,
Bhivpuri Road,,,,,,,,,,20:47,,,,
Neral,,,,,,,,,,20:54,,,,
Shelu,,,,,,,,,,20:58,,,,
Vangani,,,,,,,,,,21:02,,,,
Badlapur,,,,,,,,,,21:10,,,,21:06
Ambernath,,,21:07,,,,,,,21:18,,,,21:14
Ulhas Nagar,,,21:12,,,,,,,21:23,,,,21:19
Vithalwadi,,,21:15,,,,,,,21:26,,,,21:22
