,STATIONS UP TRAINS,DRD 93032 12 CAR,BYR 94070 12 CAR,BYR 94070 12 CAR.1,VR 94110 12 CAR,VR 94110 12 CAR.1,GMN 94112 12 CAR,GMN 94112 12 CAR.1,BVI 94114 12 CAR,BVI 94114 12 CAR.1,BVI 90898 12 CAR,BVI 90900 12 CAR,BVI 90900 12 CAR.1,BVI 90900 12 CAR.2,GMN 90902 12 CAR,GMN 90902 12 CAR.1,VR 92176 15 CAR,VR 92176 15 CAR.1,VR 92178 15 CAR,VR 92178 15 CAR.1,VR 92178 15 CAR.2,BVI 90904 12 CAR,BVI 90904 12 CAR.1,BVI 90904 12 CAR.2,BSR 94072 12 CAR,BSR 94072 12 CAR.1,BSR 94072 12 CAR.2,BVI 90908 12 CAR,BVI 90908 12 CAR.1,BVI 90908 12 CAR.2,VR 90910 12 CAR,VR 90910 12 CAR.1,VR 90910 12 CAR.2
70,Goregaon,21:57,,,,,,,22:02,22:02,22:07,22:07,,,22:12,22:12,,,,,,,22:20,22:20,22:20,22:23,22:23,22:23,,,,22:26,22:26
71,Ram Mandir,21:59,,,,,,,22:04,22:04,22:09,22:09,,,22:15,22:15,,,,,,,22:22,22:22,22:22,22:25,22:25,22:25,,,,22:28,22:28
72,Jogeshwari,22:02,,,,,,,22:07,22:07,22:12,22:12,,,22:18,22:18,,,,,,,22:25,22:25,22:25,22:28,22:28,22:28,,,,22:31,22:31
73,ANDHERI,22:08,22:01,22:06,22:06,22:06,,,22:13,22:13,22:18,22:18,22:13,22:13,22:22,22:22,22:20,22:20,22:20,22:23,22:23,22:23,22:30,22:30,22:30,22:33,22:33,22:33,22:31,22:31,22:31,22:36,22:36
74,Vile Parle,,,,,,NOT ON,NOT ON,22:17,22:17,22:22,22:22,,,22:26,22:26,ON SAT,ON SAT,ON SAT,,,,22:33,22:33,22:33,,,,,,,22:39,22:39
75,Santa Cruz,,,,,,SUN,SUN,22:20,22:20,22:25,22:25,,,22:29,22:29,& SUN,& SUN,& SUN,,,,22:36,22:36,22:36,,,,,,,22:42,22:42
76,Khar Road,,,,,,ONLY,ONLY,22:23,22:23,22:28,22:28,,,22:32,22:32,NON AC,NON AC,NON AC,,,,22:39,22:39,22:39,,,,,,,22:45,22:45
77,BANDRA,,22:10,22:14,22:14,22:14,,,22:28,22:28,22:33,22:33,22:22,22:22,22:37,22:37,22:29,22:29,22:29,22:33,22:33,22:33,22:43,22:43,22:43,,,,22:41,22:41,22:41,22:49,22:49
78,Mahim Jn.,,,,,,,,22:31,22:31,22:36,22:36,,,22:40,22:40,,,,,,,22:46,22:46,22:46,NOT ON,NOT ON,NOT ON,,,,22:52,22:52
79,Matunga Road,,,,,,,,22:34,22:34,22:39,22:39,,,22:43,22:43,,,,,,,22:49,22:49,22:49,SUN,SUN,SUN,,,,22:55,22:55
80,DADAR,,22:16,22:19,22:19,22:19,,,22:38,22:38,22:43,22:43,22:28,22:28,22:48,22:48,22:35,22:35,22:35,22:39,22:39,22:39,22:53,22:53,22:53,,,,22:47,22:47,22:47,22:59,22:59
81,Prabhadevi,,,,,,,,22:40,22:40,22:45,22:45,,,22:50,22:50,,,,,,,22:55,22:55,22:55,,,,,,,23:01,23:01
82,Lower Parel,,,,,,,,22:43,22:43,22:48,22:48,,,22:53,22:53,,,,,,,22:58,22:58,22:58,,,,,,,23:04,23:04
83,Mahalakshmi,,,,,,,,22:46,22:46,22:51,22:51,,,22:56,22:56,,,,,,,23:01,23:01,23:01,,,,,,,23:07,23:07
84,M'BAI CENTRAL(L,,22:23,22:26,22:26,22:26,,,22:49,22:49,22:54,22:54,22:35,22:35,22:59,22:59,22:42,22:42,22:42,22:46,22:46,22:46,23:04,23:04,23:04,,,,22:54,22:54,22:54,23:10,23:10
85,Grant Road,,22:25,22:28,22:28,22:28,,,22:51,22:51,22:56,22:56,22:37,22:37,23:01,23:01,22:44,22:44,22:44,22:48,22:48,22:48,23:06,23:06,23:06,,,,22:56,22:56,22:56,23:12,23:12
86,Charni Road,,22:27,22:30,22:30,22:30,,,22:53,22:53,22:58,22:58,22:39,22:39,23:03,23:03,22:46,22:46,22:46,22:50,22:50,22:50,23:08,23:08,23:08,,,,22:58,22:58,22:58,23:14,23:14
87,Marine Lines,,22:30,22:33,22:33,22:33,,,22:56,22:56,23:01,23:01,22:42,22:42,23:06,23:06,22:49,22:49,22:49,22:53,22:53,22:53,23:11,23:11,23:11,,,,23:01,23:01,23:01,23:17,23:17
88,CHURCHGATE,,22:35,22:38,22:38,22:38,,,23:00,23:00,23:05,23:05,22:47,22:47,23:09,23:09,22:52,22:52,22:52,22:59,22:59,22:59,23:15,23:15,23:15,,,,23:05,23:05,23:05,23:21,23:21
