,STATIONS UP TRAINS,Virar 90182 12 CAR,Borivali 94082 12 CAR,Borivali 94082 12 CAR.1,Virar 92028 15 CAR,Virar 92028 15 CAR.1,Virar 94012 12 CAR,Virar 94012 12 CAR.1,Virar 94012 12 CAR.2,Virar 94012 12 CAR.3,Virar 92030 15 CAR,Virar 92030 15 CAR.1,Virar 92032 15 CAR,Bhayandar 94084 12 CAR,Bhayandar 94084 12 CAR.1,Goregoan 94086 12 CAR,Virar 94088 12 CAR,Malad 94090 12 CAR,Borivali 94092 12 CAR,Vasai Road 92034 15 CAR,Virar 94094 12 CAR,Virar 94094 12 CAR.1,Borivali 90198 12 CAR,Borivali 90198 12 CAR.1
68,Kandivali,,,,08:35,08:35,08:35,08:39,08:39,,,Air,Air,,,,08:43,08:46,,08:49,,,,
69,Malad,,,,08:38,08:38,08:38,08:42,08:42,,,Condition,Condition,,,,08:46,08:49,,08:52,,,,
70,Goregaon,08:36,,,08:41,08:41,08:41,08:45,08:45,,,,,,,,08:49,08:52,,08:55,,,08:55,08:55
71,Ram Mandir,08:39,,,08:43,08:43,08:43,--,--,,,,,,,,08:51,--,,08:57,,,08:58,08:58
72,Jogeshwari,08:42,,,08:46,08:46,08:46,08:50,08:50,,,,,,,,08:54,08:57,,09:00,,,09:01,09:01
73,ANDHERI,08:46,08:48,08:48,08:52,08:52,08:52,08:55,08:55,08:43,08:43,08:49,08:49,08:57,08:57,08:52,09:00,09:03,,09:06,08:58,08:58,09:06,09:06
74,Vile Parle,08:50,08:52,08:52,08:57,08:57,08:57,,,,,,,09:01,09:01,,09:04,,,09:09,,,09:11,09:11
75,Santa Cruz,08:53,08:55,08:55,09:00,09:00,09:00,,,,,,,09:04,09:04,,09:07,,,09:12,,,09:14,09:14
76,Khar Road,08:56,08:58,08:58,09:03,09:03,09:03,,,,,,,09:07,09:07,,09:10,,,09:15,,,09:19,09:19
77,BANDRA,09:01,09:04,09:04,09:08,09:08,09:08,09:05,09:05,08:52,08:52,08:58,08:58,09:11,09:11,09:02,09:14,09:13,09:16,09:19,09:08,09:08,09:24,09:24
78,Mahim Jn.,09:04,09:07,09:07,09:11,09:11,09:11,,,,,,,09:14,09:14,,09:17,,09:20,09:23,,,09:27,09:27
79,Matunga Road,09:07,09:10,09:10,09:14,09:14,09:14,,,,,,,09:17,09:17,,09:20,,09:23,09:26,,,09:30,09:30
80,DADAR,09:10,09:13,09:13,09:18,09:18,09:18,09:11,09:11,08:58,08:58,09:04,09:04,09:21,09:21,09:08,09:24,09:19,09:27,09:30,09:14,09:14,09:34,09:34
81,Prabhadevi,09:12,09:15,09:15,09:20,09:20,09:20,,,,,,,09:23,09:23,,09:26,,09:29,09:32,,,09:36,09:36
82,Lower Parel,09:15,09:18,09:18,09:23,09:23,09:23,,,,,,,09:26,09:26,,09:29,,09:32,09:35,,,09:39,09:39
83,Mahalakshmi,09:18,09:21,09:21,09:26,09:26,09:26,,,,,,,09:29,09:29,,09:32,,09:35,09:38,,,09:42,09:42
84,M'BAI CENTRAL(L,09:21,09:24,09:24,09:29,09:29,09:29,09:18,09:18,09:05,09:05,09:11,09:11,09:32,09:32,09:15,09:35,09:26,09:38,09:41,09:21,09:21,09:45,09:45
85,Grant Road,09:23,09:26,09:26,09:31,09:31,09:31,09:20,09:20,,,09:13,09:13,09:34,09:34,09:17,09:37,09:28,09:40,09:43,09:23,09:23,09:47,09:47
86,Charni Road,09:25,09:28,09:28,09:33,09:33,09:33,09:22,09:22,,,09:15,09:15,09:36,09:36,09:19,09:39,09:30,09:42,09:45,09:25,09:25,09:49,09:49
87,Marine Lines,09:28,09:31,09:31,09:36,09:36,09:36,09:25,09:25,,,09:18,09:18,09:39,09:39,09:22,09:42,09:33,09:45,09:48,09:28,09:28,09:52,09:52
88,CHURCHGATE,09:31,09:35,09:35,09:41,09:41,09:41,09:30,09:30,09:16,09:16,09:22,09:22,09:44,09:44,09:27,09:47,09:37,09:50,09:53,09:33,09:33,09:56,09:56
89,* Passing(Will not halt at BVI),* Passing(Will not halt at BVI),* Passing(Will not halt at BVI),* Passing(Will not halt at BVI),* Passing(Will not halt at BVI),* Passing(Will not halt at BVI),* Passing(Will not halt at BVI),* Passing(Will not halt at BVI),* Passing(Will not halt at BVI),* Passing(Will not halt at BVI),* Passing(Will not halt at BVI),* Passing(Will not halt at BVI),* Passing(Will not halt at BVI),* Passing(Will not halt at BVI),* Passing(Will not halt at BVI),* Passing(Will not halt at BVI),* Passing(Will not halt at BVI),* Passing(Will not halt at BVI),* Passing(Will not halt at BVI),* Passing(Will not halt at BVI),* Passing(Will not halt at BVI),* Passing(Will not halt at BVI),* Passing(Will not halt at BVI),* Passing(Will not halt at BVI)
