STATIONS DN TRAINS,BSR 90065 12 CAR,VR 90067 12 CAR,VR 90067 12 CAR.1,BVI 90069 12 CAR,BVI 90069 12 CAR.1,BVI 90071 12 CAR,BVI 90071 12 CAR.1,VR 90073 12 CAR,VR 90073 12 CAR.1,VR 92017 12 CAR,VR 92017 12 CAR.1,VR 92017 12 CAR.2,BVI 90077 12 CAR,BVI 90077 12 CAR.1,BVI 90077 12 CAR.2,BVI 90079 12 CAR,BVI 90079 12 CAR.1,BSR 92019 15 CAR,BSR 92019 15 CAR.1,VR 94007 12 CAR,VR 94007 12 CAR.1,VR 90083 12 CAR,VR 90083 12 CAR.1,GMN 90085 12 CAR,GMN 90085 12 CAR.1,GMN 90085 12 CAR.2,BVI 90087 12 CAR,BVI 90087 12 CAR.1,BVI 90087 12 CAR.2,BVI 90089 12 CAR,BVI 90089 12 CAR.1,BVI 90089 12 CAR.2,BVI 90089 12 CAR.3
CHURCHGATE,06:48,06:48,06:48,06:51,06:51,,,06:55,06:55,06:59,06:59,06:59,,,,,,07:00,07:00,07:03,07:03,07:05,07:05,07:07,07:07,07:07,07:08,07:08,07:08,07:11,07:11,07:11,07:11
Marine Lines,06:51,06:51,06:51,06:54,06:54,,,06:58,06:58,,,,,,,,,07:03,07:03,07:06,07:06,07:08,07:08,07:10,07:10,07:10,07:11,07:11,07:11,07:14,07:14,07:14,07:14
Charni Road,06:53,06:53,06:53,06:56,06:56,,,07:00,07:00,,,,,,,,,07:05,07:05,07:08,07:08,07:10,07:10,07:12,07:12,07:12,07:13,07:13,07:13,07:16,07:16,07:16,07:16
Grant Road,06:56,06:56,06:56,06:59,06:59,,,07:03,07:03,,,,,,,,,07:08,07:08,07:11,07:11,07:13,07:13,07:15,07:15,07:15,07:16,07:16,07:16,07:19,07:19,07:19,07:19
M'BAI CENTRAL (L),06:58,06:58,06:58,07:01,07:01,,,07:05,07:05,07:08,07:08,07:08,,,,,,07:10,07:10,07:13,07:13,07:15,07:15,07:17,07:17,07:17,07:18,07:18,07:18,07:21,07:21,07:21,07:21
Mahalakshmi,07:01,,,07:04,07:04,,,07:08,07:08,,,,NOT ON,NOT ON,NOT ON,,,07:13,07:13,,,07:18,07:18,,,,07:21,07:21,07:21,07:24,07:24,07:24,07:24
Lower Parel,07:04,,,07:07,07:07,,,07:11,07:11,,,,SUN,SUN,SUN,,,07:16,07:16,,,07:21,07:21,,,,07:24,07:24,07:24,07:27,07:27,07:27,07:27
Prabhadevi,07:07,,,07:10,07:10,,,07:14,07:14,,,,ONLY,ONLY,ONLY,,,07:19,07:19,,,07:24,07:24,,,,07:27,07:27,07:27,07:30,07:30,07:30,07:30
DADAR,07:09,07:05,07:05,07:12,07:12,,,07:16,07:16,07:15,07:15,07:15,,,,,,07:21,07:21,07:20,07:20,07:26,07:26,07:24,07:24,07:24,07:29,07:29,07:29,07:32,07:32,07:32,07:32
Matunga Road,07:11,,,07:14,07:14,,,07:18,07:18,,,,,,,,,07:24,07:24,,,07:29,07:29,,,,07:32,07:32,07:32,07:35,07:35,07:35,07:35
