DN HBR TRAINS,DN HBR TRAINS.1,DN HBR TRAINS.2,DN HBR TRAINS.3,DN HBR TRAINS.4,DN HBR TRAINS.5,DN HBR TRAINS.6,DN HBR TRAINS.7,DN HBR TRAINS.8,DN HBR TRAINS.9,DN HBR TRAINS.10,DN HBR TRAINS.11,DN HBR TRAINS.12,DN HBR TRAINS.13,DN HBR TRAINS.14,DN HBR TRAINS.15,DN HBR TRAINS.16,DN HBR TRAINS.17
JOGESWARI,18:11,,18:24,18:37,,18:53,19:06,,19:25,,19:41,,19:57,20:09,,,20:28
RAM MANDIR,18:14,,18:27,18:40,,18:56,19:09,,19:28,,19:44,,20:00,20:12,,,20:31
GOREGAON,18:18,,18:31,18:45,,19:00,19:14,,19:32,,19:48,,20:04,20:16,,,20:35
Train No.,98869 B 69,98914 GNPL 14,98771 GN 71,98871 B 71,98917 PLGN 17,98773 GN 73,91491 WBO1,98916 GNPL 16,98873 B 73,98775 GN 75,98875 B 75,98777 GN 77,98877 B 77,98918 GNPL 18,98779 GN 79,98879 B 79,98781 GN 81
Stations,,,,,,,*,,,,,,,,,,
MUMBAI CSMT,19:56,,20:08,20:20,,20:36,20:46,,20:54,21:10,21:22,21:34,21:46,,22:02,22:10,22:24
MASJID,19:59,GMN,20:11,20:23,PNVL,20:39,20:48,GMN,20:57,21:13,21:25,21:37,21:49,GMN,22:05,22:13,22:27
SANDHURST ROAD,20:02,19:40,20:14,20:26,19:35,20:42,20:51,20:12,21:00,21:16,21:28,21:40,21:52,21:28,22:08,22:16,22:30
DOCK YARD ROAD,20:04,VDLR,20:16,20:28,VDLR,20:44,20:53,VDLR,21:02,21:18,21:30,21:42,21:54,VDLR,22:10,22:18,22:32
REAY ROAD,20:06,20:18,20:18,20:30,20:36,20:46,20:55,20:56,21:04,21:20,21:32,21:44,21:56,22:11,22:12,22:20,22:34
COTTON GREEN,20:08,,20:20,20:32,,20:48,20:57,,21:06,21:22,21:34,21:46,21:58,,22:14,22:22,22:36
SEWERI,20:11,,20:23,20:35,,20:51,21:00,,21:09,21:25,21:37,21:49,22:01,,22:17,22:25,22:39
VADALA ROAD,20:14,20:26,20:26,20:38,20:42,20:54,21:03,21:03,21:12,21:28,21:40,21:52,22:04,22:20,22:20,22:28,22:42
KING'S CIRCLE,20:18,,20:31,20:42,20:47,20:59,21:07,,21:16,21:33,21:44,21:57,22:09,,22:25,22:32,22:47
MAHIM JN.,20:20,,20:33,20:44,20:49,21:01,21:09,,21:18,21:35,21:46,21:59,22:11,,22:27,22:34,22:49
BANDRA,20:24,,20:37,20:50,20:53,21:05,21:13,,21:23,21:39,21:51,22:03,22:16,,22:31,22:39,22:53
KHAR,,,20:42,,20:58,21:10,21:17,,,21:44,,22:08,,,22:36,,22:58
SANTACURTZ,,,20:45,,21:01,21:13,21:20,,,21:47,,22:11,,,22:39,,23:01
VILEPARLE,,,20:48,,21:04,21:16,21:23,,,21:50,,22:14,,,22:42,,23:04
ANDHERI,,,20:52,,21:08,21:20,21:27,,,21:54,,22:18,,,22:46,,23:08
JOGESWARI,,,20:56,,21:12,21:24,21:31,,,21:58,,22:22,,,22:50,,23:12
RAM MANDIR,,,20:59,,21:15,21:27,21:34,,,22:01,,22:25,,,22:53,,23:15
GOREGAON,,,21:03,,21:20,21:32,21:38,,,22:05,,22:29,,,22:57,,23:19
Train No.,98881 B 81,98783 GN 83,98883 B 83,98785 GN 85,98885 B 85,98787 GN 87,,,,,,,,,,,
Stations,,,,,,,,,,,,,,,,,
MUMBAI CSMT,22:38,22:54,23:02,23:26,23:38,23:46,,,,,,,,,,,
MASJID,22:41,22:57,23:05,23:29,23:41,23:49,,,,,,,,,,,
SANDHURST ROAD,22:44,23:00,23:08,23:32,23:44,23:52,,,,,,,,,,,
DOCK YARD ROAD,22:46,23:02,23:10,23:34,23:46,23:54,,,,,,,,,,,
REAY ROAD,22:48,23:04,23:12,23:36,23:48,23:56,,,,,,,,,,,
COTTON GREEN,22:50,23:06,23:14,23:38,23:50,23:58,,,,,,,,,,,
SEWERI,22:53,23:09,23:17,23:41,23:53,0:01,,,,,,,,,,,
VADALA ROAD,22:56,23:12,23:20,23:44,23:56,0:04,,,,,,,,,,,
KING'S CIRCLE,23:00,23:16,23:24,23:48,0:00,0:08,,,,,,,,,,,
MAHIM JN.,23:02,23:19,23:26,23:51,0:02,0:11,,,,,,,,,,,
BANDRA,23:07,23:23,23:31,23:55,0:07,0:15,,,,,,,,,,,
KHAR,,23:28,,0:00,,0:20,,,,,,,,,,,
SANTACURTZ,,23:31,,0:03,,0:23,,,,,,,,,,,
VILEPARLE,,23:34,,0:06,,0:26,,,,,,,,,,,
ANDHERI,,23:38,,0:10,,0:30,,,,,,,,,,,
JOGESWARI,,23:42,,0:14,,0:34,,,,,,,,,,,
RAM MANDIR,,23:45,,0:17,,0:37,,,,,,,,,,,
GOREGAON,,23:49,,0:21,,0:41,,,,,,,,,,,
"* Not on Sat, Sun & Holiday X Not on Sun & Holidays","* Not on Sat, Sun & Holiday X Not on Sun & Holidays","* Not on Sat, Sun & Holiday X Not on Sun & Holidays","* Not on Sat, Sun & Holiday X Not on Sun & Holidays","* Not on Sat, Sun & Holiday X Not on Sun & Holidays","* Not on Sat, Sun & Holiday X Not on Sun & Holidays","* Not on Sat, Sun & Holiday X Not on Sun & Holidays","* Not on Sat, Sun & Holiday X Not on Sun & Holidays","* Not on Sat, Sun & Holiday X Not on Sun & Holidays","* Not on Sat, Sun & Holiday X Not on Sun & Holidays","* Not on Sat, Sun & Holiday X Not on Sun & Holidays","* Not on Sat, Sun & Holiday X Not on Sun & Holidays","* Not on Sat, Sun & Holiday X Not on Sun & Holidays","* Not on Sat, Sun & Holiday X Not on Sun & Holidays","* Not on Sat, Sun & Holiday X Not on Sun & Holidays","* Not on Sat, Sun & Holiday X Not on Sun & Holidays","* Not on Sat, Sun & Holiday X Not on Sun & Holidays","* Not on Sat, Sun & Holiday X Not on Sun & Holidays"
